Class;Param;Type;Validator;Default;Action
bggGames;stats;logical;.is_boolean;TRUE;add_flag
bggSearch;type;character;;NULL;
bggSearch;exact;boolean;;FALSE;
bggCollection;stats;boolean;;TRUE;
bggCollection;brief;boolean;;FALSE;
bggCollection;own;boolean;;NULL;
bggCollection;rated;boolean;;NULL;
bggCollection;played;boolean;;NULL;
bggCollection;comment;boolean;;NULL;
bggCollection;trade;boolean;;NULL;
bggCollection;want;boolean;;NULL;
bggCollection;wishlist;boolean;;NULL;
bggCollection;wishlistpriority;value;;NULL;
bggCollection;minrating;value;;NULL;
bggCollection;rating;value;;NULL;
