Class;PrettyName;Variable;Node;Attribute;Type;Scalar;Stats
bggCollection;Name;name;name;;text;TRUE;FALSE
bggCollection;ImageURL;image;image;;text;TRUE;FALSE
bggCollection;ThumbnailURL;thumbnail;thumbnail;;text;TRUE;FALSE
bggCollection;Year;yearpublished;yearpublished;;number;TRUE;FALSE
bggCollection;TimesPlayed;numplays;numplays;;number;TRUE;FALSE
bggCollection;Owned;own;status;own;number;TRUE;FALSE
bggCollection;PrevOwned;prevowned;status;prevowned;number;TRUE;FALSE
bggCollection;ForTrade;fortrade;status;fortrade;number;TRUE;FALSE
bggCollection;Want;want;status;want;number;TRUE;FALSE
bggCollection;WantToPlay;wanttoplay;status;wanttoplay;number;TRUE;FALSE
bggCollection;WantToBuy;wanttobuy;status;wanttobuy;number;TRUE;FALSE
bggCollection;Wishlist;wishlist;status;wishlist;number;TRUE;FALSE
bggCollection;Preordered;preordered;status;preordered;number;TRUE;FALSE
bggCollection;MinPlayers;minplayers;stats;minplayers;number;TRUE;TRUE
bggCollection;MaxPlayers;maxplayers;stats;maxplayers;number;TRUE;TRUE
bggCollection;MinPlaytime;minplaytime;stats;minplaytime;number;TRUE;TRUE
bggCollection;MaxPlaytime;maxplaytime;stats;maxplaytime;number;TRUE;TRUE
bggCollection;Playingtime;playingtime;stats;playingtime;number;TRUE;TRUE
bggCollection;NumOwned;numowned;numowned;value;number;TRUE;TRUE
bggCollection;MyRating;rating;rating;value;number;TRUE;TRUE
bggCollection;AvgRating;average;average;value;number;TRUE;TRUE
bggCollection;BGGRating;baverage;bayesaverage;value;number;TRUE;TRUE
bggCollection;RatingStdDev;stddev;stddev;value;number;TRUE;TRUE
bggCollection;RatingVotes;usersrated;usersrated;value;number;TRUE;TRUE
bggCollection;Rank;rank;rank[@name = 'boardgame'];value;number;TRUE;TRUE
bggGames;Name;name;name[@type = 'primary'];value;text;TRUE;FALSE
bggGames;ImageURL;image;image;;text;TRUE;FALSE
bggGames;ThumbnailURL;thumbnail;thumbnail;;text;TRUE;FALSE
bggGames;Description;description;description;;text;TRUE;FALSE
bggGames;Year;yearpublished;yearpublished;value;number;TRUE;FALSE
bggGames;MinPlayers;minplayers;minplayers;value;number;TRUE;FALSE
bggGames;MaxPlayers;maxplayers;maxplayers;value;number;TRUE;FALSE
bggGames;MinPlaytime;playingtime;playingtime;value;number;TRUE;FALSE
bggGames;MaxPlaytime;minplaytime;minplaytime;value;number;TRUE;FALSE
bggGames;Playingtime;maxplaytime;maxplaytime;value;number;TRUE;FALSE
bggGames;MinAge;minage;minage;value;number;TRUE;FALSE
bggGames;Weight;avgweight;averageweight;value;number;TRUE;TRUE
bggGames;WeightVotes;weightvotes;numweights;value;number;TRUE;TRUE
bggGames;NumOwned;numowned;owned;value;number;TRUE;TRUE
bggGames;BGGRating;baverage;bayesaverage;value;number;TRUE;TRUE
bggGames;AvgRating;average;average;value;number;TRUE;TRUE
bggGames;RatingVotes;usersrated;usersrated;value;number;TRUE;TRUE
bggGames;RatingStdDev;stddev;stddev;value;number;TRUE;TRUE
bggGames;NumTrading;numtrading;numtrading;value;number;TRUE;TRUE
bggGames;NumWanting;numwanting;numwanting;value;number;TRUE;TRUE
bggGames;NumWishing;numwishing;numwishing;value;number;TRUE;TRUE
bggGames;NumComments;numcomments;numcomments;value;number;TRUE;TRUE
bggGames;Rank;rank;rank[@name = 'boardgame'];value;number;TRUE;TRUE
